                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0463,                 3.2528,                0.96633,                0.02734,                0.31558,                0.14665,                0.10478,                0.87196,                 3.4939,                0.86316,                0.00018,                0.00018,                0.00018
                      1,                0.93756,                  1.235,                0.88477,                0.99976,                0.11805,                0.19741,                0.15409,                0.79893,                 1.8899,                0.86367,             0.00036634,             0.00036634,             0.00036634
                      2,                0.87298,                0.84057,                0.88199,                0.98018,                 0.1712,                0.20538,                0.15839,                0.78703,                0.94746,                0.85727,             0.00054891,             0.00054891,             0.00054891
                      3,                0.82313,                0.75756,                0.87706,                0.97319,                0.17377,                0.20378,                0.16262,                0.66579,                0.77459,                 0.8514,             0.00072773,             0.00072773,             0.00072773
                      4,                0.78366,                0.70604,                0.87207,                0.98026,                 0.1778,                0.21054,                0.16946,                0.64282,                0.73488,                0.84834,             0.00090278,             0.00090278,             0.00090278
                      5,                0.76998,                 0.6728,                 0.8706,                0.98318,                0.17768,                0.20864,                0.16598,                0.67455,                0.87534,                0.85144,              0.0009505,              0.0009505,              0.0009505
                      6,                0.75295,                 0.6678,                0.87096,                0.97914,                 0.1847,                0.21631,                 0.1722,                0.62238,                0.70963,                0.84569,              0.0009505,              0.0009505,              0.0009505
                      7,                 0.7212,                0.63064,                0.86499,                0.98605,                0.17736,                 0.2482,                0.20167,                0.61596,                0.76206,                0.84716,              0.0009406,              0.0009406,              0.0009406
                      8,                0.72503,                0.60636,                   0.86,                0.97271,                0.18323,                  0.368,                0.30097,                0.63253,                0.74822,                0.84744,              0.0009307,              0.0009307,              0.0009307
                      9,                0.71575,                0.62283,                0.85649,                0.96767,                0.26715,                0.37125,                 0.3102,                 0.5891,                0.70038,                0.84244,              0.0009208,              0.0009208,              0.0009208
                     10,                0.70841,                0.58873,                0.86114,                 0.9131,                0.34123,                0.39742,                0.31009,                0.59959,                0.59725,                0.84054,              0.0009109,              0.0009109,              0.0009109
                     11,                0.70171,                0.58446,                0.85829,                0.96744,                 0.3308,                0.41809,                0.34471,                 0.5951,                 0.5523,                0.84265,               0.000901,               0.000901,               0.000901
                     12,                0.68761,                0.57221,                0.85365,                0.92397,                0.36352,                0.43198,                0.34554,                0.61785,                0.56953,                0.84176,              0.0008911,              0.0008911,              0.0008911
                     13,                0.68485,                0.56287,                0.85856,                0.95121,                0.32764,                 0.4359,                0.35609,                0.58587,                0.55562,                0.84254,              0.0008812,              0.0008812,              0.0008812
